,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_hitch_loss_hist,train_acc_yaw_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_hitch_loss_hist,val_acc_yaw_loss_hist,val_epoch_loss_history,rmse_val_history
50,7.162921348314606e-07,2.819904,2.8118923,0.00046403473,0.0052276147,0.00046403473,,,0.03510172,0.0015024504,3.0444742e-05,0.033416603,3.0444742e-05,,
51,7.303370786516854e-07,2.6599479,2.6265774,0.00029764645,0.03158466,0.00029764645,,,0.007640212,0.0023699547,5.173978e-05,0.0049598184,5.173978e-05,,
52,7.443820224719101e-07,2.2828028,2.196269,0.000315216,0.08464237,0.000315216,,,0.008026361,0.0014878522,6.131482e-06,0.0065017208,6.131482e-06,,
53,7.584269662921348e-07,1.6308072,1.6212649,4.726361e-05,0.009258732,4.726361e-05,,,0.005155579,0.0005071241,1.6717477e-05,0.00454815,1.6717477e-05,,
54,7.724719101123595e-07,2.9749873,2.6522362,0.00060523837,0.3191194,0.00060523837,,,0.009268394,0.00038064207,8.93549e-06,0.0088341385,8.93549e-06,,
55,7.865168539325844e-07,0.7842689,0.61704695,0.00075166946,0.16271192,0.00075166946,,,0.036746062,0.0055757985,0.00029360678,0.029408624,0.00029360678,,
56,8.00561797752809e-07,3.46231,3.448184,0.00018623652,0.013008533,0.00018623652,,,0.016147673,0.0010731223,2.6710719e-05,0.014914287,2.6710719e-05,,
57,8.146067415730338e-07,2.5860145,2.5681808,0.00034692202,0.015752435,0.00034692202,,,0.0050931475,0.0006587425,4.551281e-05,0.004161328,4.551281e-05,,
58,8.286516853932585e-07,1.4629574,1.4581249,0.00044734025,0.002148375,0.00044734025,,,0.006252533,0.0036578833,6.874896e-05,0.0021821558,6.874896e-05,,
59,8.426966292134832e-07,0.32346132,0.25856888,0.00030116417,0.063085474,0.00030116417,,,0.01740518,0.0009214351,2.7995131e-05,0.016315775,2.7995131e-05,,
