,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,resnet18,resnet34,mobilenetv2,inceptionv3,googlenet,densenet121
208,208,208,208,208,208,2.1654973,2.6738458,1.7709378,3.71714,8.1826725,1.9332819
209,209,209,209,209,209,2.2716427,3.0847514,1.7678392,3.6114035,5.6513433,2.0524688
210,210,210,210,210,210,2.2689426,2.6926353,1.5163739,3.7600775,5.921766,2.080244
211,211,211,211,211,211,2.220519,2.3607695,1.5147884,3.7738547,6.015376,2.0328636
212,212,212,212,212,212,2.317424,2.6318789,1.8094903,3.5790071,6.5195937,2.115161
213,213,213,213,213,213,2.3558815,2.629004,1.7109096,3.7030594,7.0662155,2.0251515
214,214,214,214,214,214,2.3393059,2.5389595,1.8258936,3.7079792,6.192942,1.9561849
215,215,215,215,215,215,2.1836677,2.5450594,1.6987993,3.5198395,5.910232,2.0802758
216,216,216,216,216,216,2.2771282,2.7509196,1.8071442,3.716135,6.403248,2.0821896
217,217,217,217,217,217,2.2971,2.8917572,1.7797972,3.6270242,6.619484,1.8795049
218,218,218,218,218,218,2.2115254,2.4971683,1.7043853,3.9122438,6.5081744,1.9826881
219,219,219,219,219,219,2.1956735,2.703335,1.6775639,3.7477648,5.6750073,1.9654461
220,220,220,220,220,220,2.280644,2.219898,1.7127341,3.8710334,4.9747086,1.8105499
221,221,221,221,221,221,2.2504218,2.3100326,1.4644151,3.4665422,5.2870946,1.7741283
222,222,222,222,222,222,2.0072107,2.593495,1.4814705,3.2032669,5.188524,1.703613
223,223,223,223,223,223,2.1069014,2.1938818,1.5132091,3.3890657,4.889401,1.590059
224,224,224,224,224,224,2.0583885,2.185536,1.4472551,3.5714045,5.2915916,1.6057863
225,225,225,225,225,225,1.9973295,2.2023551,1.4787502,3.2844644,5.4360194,1.6614327
226,226,226,226,226,226,1.7980801,2.074295,1.3260449,3.0416813,5.0733976,1.6976272
227,227,227,227,227,227,1.8967725,2.2572088,1.3456155,3.2018754,4.5504174,1.5169712
228,228,228,228,228,228,1.6643369,2.0395353,1.4292572,3.170135,4.5178127,1.4513967
229,229,229,229,229,229,1.5126696,1.8670684,1.1919892,2.9923875,4.7824435,1.2922167
230,230,230,230,230,230,1.4983041,1.7936592,1.0673218,3.1630216,4.2421627,1.2638901
231,231,231,231,231,231,1.4117761,1.5944993,0.832335,2.623981,3.770873,1.1978325
232,232,232,232,232,232,1.3858263,2.0276263,0.7645207,3.2147985,4.388828,1.1145643
233,233,233,233,233,233,1.3561258,1.699328,0.7756955,2.8687131,4.147793,1.0312445
234,234,234,234,234,234,1.1643459,1.6649067,0.82078695,2.5968413,4.1159396,1.0927149
235,235,235,235,235,235,1.1316242,1.5354335,0.5805263,2.6862364,4.877682,0.9363707
236,236,236,236,236,236,0.9605181,1.2918988,0.55755764,2.5689924,4.098453,0.89372164
237,237,237,237,237,237,0.814897,1.0344279,0.3930439,2.6094072,5.3402452,0.7308473
238,238,238,238,238,238,0.6892911,0.9774182,0.075425245,2.4189482,4.194226,0.6993846
239,239,239,239,239,239,0.63412964,0.627728,0.05357504,2.067753,3.5414286,0.54737985
240,240,240,240,240,240,0.43302542,0.64903325,0.13702564,2.1071825,4.055446,0.37711477
241,241,241,241,241,241,0.36578435,0.36854002,0.013822221,2.1635833,4.364588,0.32268843
242,242,242,242,242,242,-0.006920689,0.4183894,-0.387748,1.508098,3.9531362,0.21028294
243,243,243,243,243,243,0.14998133,0.17742012,-0.19117479,1.3004167,3.5779443,0.15167928
244,244,244,244,244,244,0.023780582,-0.12679328,-0.29229012,1.5378929,2.3979695,0.14656475
245,245,245,245,245,245,-0.39352518,-0.2855975,-0.50340426,1.582944,2.109579,-0.05252906
246,246,246,246,246,246,-0.4596354,-0.26848918,-0.7108594,1.4309126,3.1060474,-0.2321626
247,247,247,247,247,247,-0.63517535,-0.41690663,-1.3089952,1.297014,3.5615299,-0.48338377
248,248,248,248,248,248,-0.7719232,-0.60596925,-1.0773398,1.4837706,3.286518,-0.6425851
249,249,249,249,249,249,-0.6889529,-0.8520285,-1.132904,1.7228526,3.3030946,-0.9084183
250,250,250,250,250,250,-0.9130176,-0.73151815,-1.6170229,0.86543316,2.4904912,-1.2182281
251,251,251,251,251,251,-1.2886972,-1.4183047,-1.8249639,1.1105741,2.8486834,-1.4643246
252,252,252,252,252,252,-1.368777,-1.6838697,-2.1342413,1.5444094,2.8995986,-1.8493046
253,253,253,253,253,253,-1.7807618,-2.1463835,-2.3186896,1.0778772,3.5919523,-1.8591874
254,254,254,254,254,254,-1.8907437,-2.1468928,-2.4722538,0.9281842,2.0566976,-2.2772293
255,255,255,255,255,255,-1.9614313,-2.248665,-2.8004777,0.85683566,2.8232512,-2.5683897
256,256,256,256,256,256,-2.1863194,-2.6483157,-2.8613226,0.9105064,4.8921704,-2.764998
257,257,257,257,257,257,-2.3313744,-2.973149,-3.2738612,0.60161453,-0.5166983,-3.197841
258,258,258,258,258,258,-2.5515683,-3.2203097,-3.2947426,0.7841505,-1.1338149,-3.4338996
259,259,259,259,259,259,-2.864823,-3.5722651,-3.5298061,0.40404963,-0.17882064,-3.6720846
