,lr_history,train_loss_history,train_loss1_history,train_loss2_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_loss1_history,val_loss2_history,val_epoch_loss_history,rmse_val_history
4056,1.8524201060530872e-05,0.008904976,0.0006136567,0.008291319,,,0.0026027139,0.0006862075,0.0019165063,,
4057,1.850811577026979e-05,0.0065070917,0.0033429652,0.0031641265,,,0.016081871,0.0012380013,0.01484387,,
4058,1.8492026211328228e-05,0.00563607,0.0012524028,0.0043836674,,,0.011431975,0.001337657,0.010094319,,
4059,1.8475932403283978e-05,0.016442906,0.0009363009,0.015506606,,,0.008427496,0.00062857167,0.007798924,,
4060,1.8459834365720013e-05,0.009239849,0.00047315992,0.008766688,,,0.0072902734,0.0006613079,0.0066289655,,
4061,1.8443732118224456e-05,0.0074175773,0.00048557197,0.0069320053,,,0.0016322345,0.0005989685,0.0010332661,,
4062,1.8427625680390536e-05,0.0030279756,9.4234645e-05,0.0029337408,,,0.0013338717,0.0005235191,0.0008103526,,
4063,1.84115150718166e-05,0.021631295,0.002033606,0.019597689,,,0.008394231,0.0004755598,0.007918672,,
4064,1.839540031210605e-05,0.04531347,0.006441652,0.038871817,,,0.009929764,0.0007903533,0.009139411,,
4065,1.8379281420867354e-05,0.009582231,0.0009692081,0.008613023,,,0.0019536323,0.00040932454,0.0015443078,,
4066,1.8363158417714006e-05,0.011449063,0.0013090692,0.010139994,,,0.008152503,0.0011713863,0.0069811163,,
4067,1.8347031322264497e-05,0.0057913344,0.0017112924,0.004080042,,,0.006368198,0.000975656,0.005392542,,
4068,1.8330900154142298e-05,0.022193376,0.0037963788,0.018396998,,,0.00073699397,0.00046892845,0.0002680655,,
4069,1.831476493297585e-05,0.027287334,0.0013527087,0.025934625,,,0.0023293847,0.00086456025,0.0014648244,,
4070,1.82986256783985e-05,0.004419449,0.00018025166,0.0042391974,,,0.007891623,0.0013711273,0.006520496,,
4071,1.8282482410048518e-05,0.006884288,0.0018959346,0.0049883532,,,0.009827327,0.0006685543,0.009158772,,
4072,1.826633514756907e-05,0.0052839275,0.0010966032,0.0041873246,,,0.013021626,0.0009844587,0.012037167,,
4073,1.8250183910608157e-05,0.011034132,0.0025688363,0.008465296,,,0.0033810642,0.0014365468,0.0019445174,,
