,lr_history,train_total_loss_history,train_epoch_loss_history,rmse_train_history,val_total_loss_history,val_epoch_loss_history,rmse_val_history
192,9.03558052434457e-06,0.10633141,,,0.16972522,,
193,9.082397003745319e-06,0.07183075,,,0.09825639,,
194,9.129213483146068e-06,0.021403795,,,0.16444248,,
195,9.176029962546817e-06,0.026319051,,,0.1255108,,
196,9.222846441947567e-06,0.0032248762,,,0.22960877,,
197,9.269662921348316e-06,0.017917348,,,0.09677466,,
198,9.316479400749065e-06,0.01932963,,,0.26500842,,
199,9.363295880149813e-06,0.40170258,,,0.15214948,,
200,9.410112359550562e-06,0.04857472,,,0.16568255,,
201,9.45692883895131e-06,0.3568024,,,0.10178555,,
202,9.50374531835206e-06,0.67140496,,,0.11496065,,
203,9.550561797752809e-06,0.014201907,,,0.36257172,,
204,9.597378277153558e-06,0.011008904,,,0.014797733,,
205,9.644194756554308e-06,0.017267685,,,0.09603843,,
206,9.691011235955057e-06,0.13084128,,,0.01053138,,
207,9.737827715355806e-06,0.044714313,,,0.482779,,
208,9.784644194756556e-06,0.012049184,,,0.12843274,,
209,9.831460674157303e-06,0.021385001,,,0.44932956,,
210,9.878277153558053e-06,0.034391668,,,0.17369083,,
211,9.925093632958802e-06,0.014029806,,,0.3124243,,
212,9.97191011235955e-06,0.017383354,,,0.23747453,,
213,1.00187265917603e-05,0.07092923,,,0.008052847,,
214,1.0065543071161049e-05,0.1942921,,,0.22268112,,
215,1.0112359550561798e-05,0.048046038,,,0.084403306,,
216,1.0159176029962547e-05,0.059319805,,,0.0012532071,,
217,1.0205992509363297e-05,0.05091424,,,0.16357602,,
218,1.0252808988764046e-05,0.011263863,,,0.30373186,,
219,1.0299625468164795e-05,0.017157216,,,0.037482347,,
220,1.0346441947565543e-05,0.008306687,,,0.07193342,,
221,1.0393258426966292e-05,0.08308684,,,0.4137052,,
222,1.0440074906367042e-05,0.03252926,,,0.17097731,,
223,1.0486891385767791e-05,0.13166511,,,0.072833166,,
224,1.0533707865168539e-05,0.017187199,,,0.15340815,,
225,1.0580524344569288e-05,0.28725606,,,0.049034484,,
226,1.0627340823970038e-05,0.0944738,,,0.19569285,,
227,1.0674157303370787e-05,0.16889535,,,0.15791342,,
228,1.0720973782771536e-05,0.034377687,,,0.22774807,,
229,1.0767790262172286e-05,0.01879114,,,0.07284509,,
230,1.0814606741573033e-05,0.016546272,,,0.08797053,,
231,1.0861423220973783e-05,0.6382251,,,0.22348222,,
232,1.0908239700374532e-05,0.020555275,,,0.121233456,,
233,1.0955056179775282e-05,0.069449306,,,0.05484612,,
234,1.1001872659176031e-05,0.0811173,,,0.0346636,,
235,1.104868913857678e-05,0.027892945,,,0.22720797,,
236,1.1095505617977528e-05,0.065929495,,,0.31662983,,
237,1.1142322097378277e-05,0.22664566,,,0.062341344,,
238,1.1189138576779027e-05,0.06029232,,,0.37731138,,
239,1.1235955056179776e-05,0.060790636,,,0.40473318,,
240,1.1282771535580525e-05,0.29715097,,,0.12994821,,
241,1.1329588014981273e-05,0.004985839,,,0.09681153,,
242,1.1376404494382022e-05,0.051002767,,,0.15773839,,
243,1.1423220973782772e-05,0.030598713,,,0.22488321,,
244,1.1470037453183521e-05,0.040166404,,,0.29662395,,
245,1.151685393258427e-05,0.060020767,,,0.15860504,,
