,lr_history,train_loss_history,train_epoch_loss_history,rmse_train_history,val_loss_history,val_epoch_loss_history,rmse_val_history
132,2.66e-06,40.49078,,,8.695362,,
133,2.68e-06,0.3812669,,,0.61460924,,
134,2.7e-06,27.54724,,,1.8480159,,
135,2.72e-06,6.7181234,,,1.5338982,,
136,2.74e-06,5.661197,,,3.5663245,,
137,2.7600000000000003e-06,43.408375,,,1.8697178,,
138,2.78e-06,0.6880538,,,3.8324037,,
139,2.8000000000000003e-06,24.195469,,,5.973554,,
140,2.82e-06,21.767889,,,3.0515227,,
141,2.8400000000000003e-06,70.42592,,,4.546612,,
142,2.86e-06,1.7249013,,,1.9371793,,
143,2.88e-06,18.85942,,,0.07941403,,
144,2.9e-06,0.6244318,,,5.3976526,,
145,2.92e-06,33.70057,,,1.7069801,,
146,2.9400000000000002e-06,0.24585001,,,3.1515777,,
147,2.9600000000000005e-06,18.405483,,,3.868481,,
148,2.9800000000000003e-06,0.5120999,,,3.508193,,
149,3e-06,8.774357,,,1.7494237,,
150,3.0200000000000003e-06,3.5666885,,,4.505709,,
151,3.04e-06,0.2910005,,,9.942403,,
152,3.06e-06,15.491458,,,3.330048,,
153,3.08e-06,0.8177535,,,1.2898494,,
154,3.1e-06,0.9763937,,,5.7024565,,
155,3.12e-06,18.087585,,,2.5630271,,
156,3.14e-06,12.526825,,,4.0679994,,
157,3.1600000000000007e-06,0.4780341,,,3.6368294,,
158,3.1800000000000005e-06,0.20006904,,,1.5180454,,
159,3.2000000000000003e-06,49.360893,,,0.07437289,,
160,3.22e-06,0.25554746,,,1.1044189,,
161,3.24e-06,0.45922834,,,0.2640161,,
162,3.2599999999999997e-06,27.222038,,,0.43240243,,
163,3.2800000000000004e-06,0.22740808,,,5.6371703,,
164,3.3e-06,0.8656641,,,3.0759778,,
165,3.3200000000000004e-06,28.334845,,,0.41789502,,
166,3.34e-06,11.492454,,,3.148911,,
167,3.36e-06,6.8520913,,,2.1455793,,
168,3.38e-06,0.064534165,,,3.2818978,,
169,3.4000000000000005e-06,0.09164419,,,6.887771,,
170,3.4200000000000003e-06,19.541271,,,0.4826598,,
171,3.44e-06,6.4552574,,,0.22803335,,
172,3.46e-06,4.171469,,,2.6296968,,
173,3.4799999999999997e-06,15.609077,,,2.3396413,,
174,3.5000000000000004e-06,2.289971,,,1.9666907,,
175,3.52e-06,16.71004,,,3.3904364,,
176,3.5400000000000004e-06,70.1854,,,1.1881263,,
177,3.5600000000000002e-06,11.835191,,,0.5737762,,
178,3.58e-06,5.5807533,,,3.7831624,,
179,3.6e-06,0.25312573,,,4.580801,,
180,3.6200000000000005e-06,5.8270946,,,4.1080422,,
181,3.6400000000000003e-06,17.516836,,,3.2442565,,
182,3.66e-06,0.37772962,,,1.0284263,,
183,3.68e-06,0.19896877,,,3.5336576,,
184,3.7e-06,16.965565,,,1.3460629,,
185,3.72e-06,13.582062,,,4.4324594,,
186,3.7400000000000006e-06,13.71204,,,10.503324,,
187,3.7600000000000004e-06,7.8517423,,,0.8840837,,
188,3.7800000000000002e-06,21.620981,,,1.1745553,,
189,3.8e-06,19.100033,,,7.392779,,
190,3.82e-06,0.17194074,,,0.88554376,,
191,3.84e-06,2.4743063,,,4.72411,,
192,3.86e-06,2.6981761,,,3.6922777,,
193,3.88e-06,0.25977537,,,1.5621972,,
194,3.9e-06,84.91759,,,5.2175927,,
195,3.92e-06,0.33078134,,,1.0183046,,
196,3.9399999999999995e-06,0.20733835,,,2.2517555,,
197,3.96e-06,10.350488,,,0.9750171,,
198,3.98e-06,6.0789156,,,2.9217157,,
199,4.000000000000001e-06,0.3760011,,,2.0635557,,
200,4.0200000000000005e-06,68.50712,,,1.6296473,,
201,4.04e-06,0.2558588,,,0.7261566,,
202,4.06e-06,5.7747793,,,0.8451789,,
203,4.080000000000001e-06,95.61833,,,3.1187577,,
204,4.1000000000000006e-06,0.4152145,,,2.609099,,
205,4.12e-06,0.56940943,,,3.6035864,,
206,4.14e-06,61.46437,,,1.4312497,,
207,4.16e-06,22.365978,,,0.88973516,,
208,4.18e-06,55.94509,,,0.48986274,,
209,4.2000000000000004e-06,0.27889648,,,0.10884835,,
210,4.22e-06,0.81848854,,,3.2436285,,
211,4.24e-06,62.966415,,,3.337084,,
212,4.26e-06,0.9991246,,,3.0853114,,
213,4.28e-06,10.48278,,,0.34333527,,
214,4.2999999999999995e-06,0.82929814,,,1.3864713,,
215,4.32e-06,37.531742,,,0.65335226,,
216,4.34e-06,12.697123,,,2.3117719,,
217,4.360000000000001e-06,1.9982787,,,1.7246724,,
218,4.38e-06,7.5258775,,,3.1628542,,
219,4.4e-06,44.818096,,,1.7206562,,
220,4.420000000000001e-06,1.8753235,,,0.7455773,,
221,4.440000000000001e-06,1.0938357,,,2.8588097,,
222,4.4600000000000005e-06,0.8585247,,,1.9988239,,
223,4.48e-06,1.1169536,,,2.383112,,
224,4.5e-06,2.9633381,,,6.510309,,
225,4.52e-06,0.6408179,,,6.518078,,
226,4.540000000000001e-06,0.3864251,,,2.086642,,
227,4.56e-06,51.687317,,,1.9401879,,
228,4.58e-06,3.338332,,,0.11974141,,
229,4.6e-06,41.877056,,,0.74014497,,
230,4.62e-06,20.877903,,,0.19512014,,
231,4.64e-06,0.9996572,,,0.27152833,,
232,4.66e-06,7.253386,,,3.142655,,
233,4.68e-06,0.5874952,,,2.7539432,,
234,4.7e-06,4.336409,,,4.736971,,
235,4.72e-06,0.17421448,,,0.9669724,,
236,4.74e-06,8.76968,,,0.37492037,,
237,4.76e-06,0.94631875,,,0.40409258,,
238,4.780000000000001e-06,5.62305,,,2.8334708,,
239,4.800000000000001e-06,73.61246,,,4.5604596,,
240,4.8200000000000004e-06,0.2635247,,,6.390953,,
241,4.84e-06,11.18768,,,1.243289,,
242,4.86e-06,65.452034,,,6.288927,,
243,4.880000000000001e-06,0.68402773,,,3.1204667,,
244,4.9000000000000005e-06,5.200046,,,2.107481,,
245,4.92e-06,0.0629749,,,1.7575268,,
246,4.94e-06,0.63402444,,,1.4767798,,
247,4.96e-06,14.435112,,,3.5702138,,
248,4.98e-06,1.1061838,,,4.854868,,
249,5e-06,39.57707,,,2.488512,,
250,5.02e-06,44.08915,,,1.5139594,,
251,5.04e-06,26.1221,,,0.42994586,,
252,5.06e-06,2.1738062,,,0.4687079,,
253,5.08e-06,56.756733,,,1.2243071,,
254,5.1e-06,1.1236063,,,2.4230459,,
255,5.12e-06,0.19696105,,,5.1282125,,
256,5.140000000000001e-06,86.567345,,,7.768176,,
257,5.1600000000000006e-06,1.4617177,,,0.16967726,,
258,5.18e-06,21.355566,,,0.8928711,,
259,5.2e-06,0.54743546,,,0.39312196,,
260,5.220000000000001e-06,0.75631917,,,6.869582,,
261,5.240000000000001e-06,89.245155,,,5.0570397,,
262,5.2600000000000005e-06,28.84454,,,10.427354,,
263,5.28e-06,11.000762,,,5.601819,,
264,5.3e-06,2.1562176,,,7.101188,,
265,5.32e-06,0.45381424,,,9.618055,,
266,5.3400000000000005e-06,23.578215,,,5.4303102,,
267,5.36e-06,1.8241401,,,0.35762414,,
268,5.38e-06,5.4427786,,,8.412864,,
269,5.4e-06,0.8491539,,,1.196583,,
270,5.42e-06,0.6260779,,,2.3652918,,
271,5.44e-06,1.0458915,,,3.4488661,,
272,5.46e-06,1.1923752,,,9.419566,,
