,lr_history,train_total_loss_hist,train_trans_loss_hist,train_rot_loss_hist,train_epoch_loss_history,rmse_train_history,val_total_loss_hist,val_trans_loss_hist,val_rot_loss_hist,val_epoch_loss_history,rmse_val_history
13193,1.2921870960815585e-05,0.004303817,0.00012432902,0.004179488,,,,,,,
13194,1.2916408852616327e-05,0.00458937,0.00022568373,0.0043636863,,,,,,,
13195,1.2910947026118958e-05,0.0070174756,0.00038086146,0.006636614,,,,,,,
13196,1.2905485482061923e-05,0.0013213108,0.0003279727,0.0009933381,,,,,,,
13197,1.2900024221183624e-05,0.0031463234,0.0024522995,0.00069402397,,,,,,,
13198,1.2894563244222423e-05,0.0026621183,0.0002799559,0.0023821625,,,,,,,
13199,1.2889102551916645e-05,0.004352314,0.00051670877,0.0038356052,,,,,,,
13200,1.2883642145004576e-05,0.008078184,0.0009055784,0.007172606,,,,,,,
13201,1.2878182024224458e-05,0.0066887774,0.0016716474,0.00501713,,,,,,,
13202,1.2872722190314513e-05,0.00040563068,0.0001827995,0.00022283116,,,,,,,
13203,1.2867262644012903e-05,0.00074856146,0.00043973082,0.00030883067,,,,,,,
13204,1.2861803386057766e-05,0.0034812551,0.00019034478,0.0032909103,,,,,,,
13205,1.2856344417187187e-05,0.0032085115,0.0002168909,0.0029916207,,,,,,,
13206,1.285088573813922e-05,0.0013140498,0.00014280825,0.0011712415,,,,,,,
13207,1.2845427349651883e-05,0.0024790468,0.0020213858,0.000457661,,,,,,,
13208,1.2839969252463151e-05,0.00054684817,0.00033720484,0.00020964336,,,,,,,
13209,1.2834511447310965e-05,0.0017227448,0.00011244419,0.0016103006,,,,,,,
13210,1.2829053934933209e-05,0.0011942293,0.00018849748,0.0010057319,,,,,,,
13211,1.2823596716067745e-05,0.0016963241,0.0005984638,0.0010978603,,,,,,,
13212,1.2818139791452395e-05,0.0050735325,0.00063674105,0.0044367914,,,,,,,
13213,1.281268316182493e-05,0.00085755443,0.0007194084,0.00013814606,,,,,,,
13214,1.2807226827923087e-05,0.0058579594,0.0008724469,0.0049855122,,,,,,,
13215,1.2801770790484572e-05,0.0032127486,0.00037244865,0.0028402999,,,,,,,
13216,1.2796315050247029e-05,0.008813732,0.0008651825,0.007948549,,,,,,,
13217,1.2790859607948085e-05,0.017240942,0.00017406268,0.01706688,,,,,,,
13218,1.2785404464325315e-05,0.00095469056,0.000643609,0.0003110816,,,,,,,
13219,1.277994962011625e-05,0.0015793121,0.00027465395,0.0013046582,,,,,,,
13220,1.2774495076058396e-05,0.001728785,0.0010010687,0.00072771625,,,,,,,
13221,1.2769040832889196e-05,0.009114441,0.0019253712,0.00718907,,,,,,,
13222,1.2763586891346075e-05,0.0028389252,8.1924096e-05,0.0027570012,,,,,,,
13223,1.2758133252166402e-05,0.0014906733,0.00035609663,0.0011345766,,,,,,,
13224,1.2752679916087508e-05,0.016584095,0.0007611192,0.015822975,,,,,,,
13225,1.274722688384669e-05,0.0018235366,0.00076682254,0.0010567141,,,,,,,
13226,1.2741774156181198e-05,0.003411116,0.00085977884,0.0025513372,,,,,,,
13227,1.2736321733828238e-05,0.0023814891,0.0006141522,0.001767337,,,,,,,
